Ngày,Khu vực,Nhà Phân Phối,Sản phẩm, Doanh thu 
07-May-2019,Miền Nam,VNPT,SP 04, 68.00 
17-Mar-2020,Miền Nam,Viettel,SP 08, 44.75 
23-Nov-2019,Miền Nam,FPT,SP 08, 68.85 
17-Jun-2020,Miền Nam,Gà Excel,SP 04, 560.66 
19-Dec-2019,Miền Nam,VNPT,SP 08, 44.75 
30-Dec-2020,Miền Bắc,Viettel,SP 08, 44.98 
08-Dec-2020,Miền Nam,FPT,SP 03, 123.75 
23-Nov-2020,Miền Trung,Gà Excel,SP 05, 45.21 
26-Nov-2020,Miền Nam,VNPT,SP 01, 155.90 
22-Dec-2019,Miền Bắc,Viettel,SP 04, 136.00 
20-Jun-2020,Miền Nam,FPT,SP 02, 19.45 
01-Apr-2020,Miền Nam,Gà Excel,SP 04, 68.00 
17-Nov-2020,Miền Trung,VNPT,SP 09, 173.25 
24-Feb-2020,Miền Trung,Viettel,SP 09, 24.63 
17-Dec-2019,Miền Bắc,FPT,SP 09, 25.00 
06-Sep-2020,Miền Nam,Gà Excel,SP 04, 68.00 
07-Nov-2019,Miền Trung,VNPT,SP 04, 34.00 
07-Dec-2019,Miền Nam,Viettel,SP 04, 67.32 
16-Jan-2020,Miền Nam,FPT,SP 08, 45.90 
23-Nov-2020,Miền Nam,Gà Excel,SP 01, 79.95 
20-Dec-2020,Miền Nam,VNPT,SP 10, 80.44 
14-Jan-2019,Miền Trung,Viettel,SP 05, 91.80 
11-Mar-2020,Miền Nam,FPT,SP 04, 136.00 
26-Dec-2019,Miền Trung,Gà Excel,SP 04, 68.00 
19-Mar-2019,Miền Bắc,VNPT,SP 02, 19.95 
18-Nov-2020,Miền Trung,Viettel,SP 09, 75.00 
23-Nov-2019,Miền Trung,FPT,SP 07, 23.50 
10-Sep-2019,Miền Bắc,Gà Excel,SP 06, 120.00 
18-Nov-2020,Miền Bắc,VNPT,SP 08, 45.44 
09-Nov-2019,Miền Trung,Viettel,SP 03, 75.00 
25-Mar-2020,Miền Trung,FPT,SP 04, 67.32 
11-Dec-2020,Miền Bắc,Gà Excel,SP 10, 53.63 
20-Sep-2019,Miền Trung,VNPT,SP 06, 60.00 
01-Aug-2019,Miền Nam,Viettel,SP 03, 74.25 
15-Feb-2020,Miền Nam,FPT,SP 06, 120.00 
24-Dec-2019,Miền Nam,Gà Excel,SP 10, 27.50 
18-Nov-2020,Miền Nam,VNPT,SP 05, 550.80 
16-Dec-2019,Miền Bắc,Viettel,SP 06, 87.75 
23-Nov-2020,Miền Nam,FPT,SP 05, 45.90 
18-Dec-2019,Miền Nam,Gà Excel,SP 03, 425.00 
16-Nov-2020,Miền Trung,VNPT,SP 08, 22.49 
14-Nov-2020,Miền Trung,Viettel,SP 07, 117.50 
23-Oct-2020,Miền Trung,FPT,SP 06, 90.00 
07-Apr-2019,Miền Trung,Gà Excel,SP 04, 99.45 
14-Feb-2020,Miền Nam,VNPT,SP 03, 50.00 
02-Nov-2020,Miền Trung,Viettel,SP 09, 24.25 
20-Nov-2019,Miền Trung,FPT,SP 06, 58.50 
09-Nov-2020,Miền Trung,Gà Excel,SP 09, 24.25 
19-Nov-2019,Miền Bắc,VNPT,SP 09, 24.38 
23-Dec-2020,Miền Nam,Viettel,SP 01, 239.85 
18-Dec-2019,Miền Trung,FPT,SP 07, 94.00 
25-Nov-2020,Miền Bắc,Gà Excel,SP 03, 72.75 
23-Jul-2020,Miền Nam,VNPT,SP 04, 102.00 
27-Mar-2020,Miền Bắc,Viettel,SP 07, 23.50 
18-May-2019,Miền Nam,FPT,SP 02, 38.90 
18-Nov-2020,Miền Nam,Gà Excel,SP 04, 66.30 
13-Nov-2020,Miền Trung,VNPT,SP 09, 75.00 
13-Dec-2020,Miền Nam,Viettel,SP 02, 197.51 
29-Dec-2019,Miền Bắc,FPT,SP 09, 49.50 
02-Dec-2020,Miền Bắc,Gà Excel,SP 09, 49.50 
19-Nov-2019,Miền Trung,VNPT,SP 05, 67.47 
05-Nov-2020,Miền Bắc,Viettel,SP 04, 67.32 
18-Mar-2019,Miền Nam,FPT,SP 10, 27.50 
15-Dec-2020,Miền Nam,Gà Excel,SP 10, 53.63 
10-Nov-2019,Miền Trung,VNPT,SP 10, 80.03 
02-Nov-2019,Miền Trung,Viettel,SP 02, 412.67 
26-Nov-2020,Miền Bắc,FPT,SP 08, 89.96 
25-Nov-2020,Miền Bắc,Gà Excel,SP 02, 139.65 
19-Dec-2019,Miền Nam,VNPT,SP 02, 19.35 
23-Nov-2020,Miền Nam,Viettel,SP 04, 33.15 
02-Dec-2019,Miền Trung,FPT,SP 06, 58.50 
19-Apr-2020,Miền Bắc,Gà Excel,SP 02, 350.12 
11-Nov-2019,Miền Bắc,VNPT,SP 05, 45.90 
23-Dec-2020,Miền Nam,Viettel,SP 04, 66.64 
26-May-2020,Miền Trung,FPT,SP 04, 34.00 
03-Dec-2020,Miền Trung,Gà Excel,SP 04, 34.00 
08-Nov-2019,Miền Nam,VNPT,SP 08, 44.75 
07-Dec-2019,Miền Nam,Viettel,SP 07, 69.44 
30-Nov-2020,Miền Nam,FPT,SP 09, 75.00 
23-Dec-2019,Miền Trung,Gà Excel,SP 01, 156.70 
22-Dec-2019,Miền Trung,VNPT,SP 03, 72.75 
08-Mar-2019,Miền Nam,Viettel,SP 03, 25.00 
24-Dec-2019,Miền Trung,FPT,SP 05, 45.44 
15-Dec-2020,Miền Nam,Gà Excel,SP 07, 22.91 
01-Nov-2019,Miền Nam,VNPT,SP 02, 19.65 
09-Jun-2020,Miền Trung,Viettel,SP 04, 33.49 
09-Jun-2020,Miền Trung,FPT,SP 05, 45.21 
26-Dec-2020,Miền Nam,Gà Excel,SP 04, 99.45 
19-Nov-2020,Miền Nam,VNPT,SP 09, 49.25 
07-Jul-2020,Miền Trung,Viettel,SP 05, 527.85 
01-Nov-2020,Miền Nam,FPT,SP 09, 73.88 
08-Nov-2020,Miền Nam,Gà Excel,SP 02, 19.75 
23-Jul-2019,Miền Trung,VNPT,SP 07, 46.06 
01-Dec-2019,Miền Trung,Viettel,SP 09, 73.50 
27-Nov-2020,Miền Trung,FPT,SP 07, 23.50 
18-Dec-2019,Miền Nam,Gà Excel,SP 05, 67.47 
20-Dec-2020,Miền Nam,VNPT,SP 06, 29.10 
27-Dec-2019,Miền Nam,Viettel,SP 09, 74.25 
03-Dec-2020,Miền Trung,FPT,SP 07, 68.74 
08-Nov-2019,Miền Trung,Gà Excel,SP 07, 23.03 
13-Dec-2019,Miền Bắc,VNPT,SP 09, 467.88 
03-Dec-2019,Miền Bắc,Viettel,SP 06, 30.00 
07-Nov-2019,Miền Nam,FPT,SP 09, 24.38 
27-Dec-2019,Miền Bắc,Gà Excel,SP 02, 38.70 
14-Nov-2020,Miền Trung,VNPT,SP 05, 44.75 
30-May-2019,Miền Nam,Viettel,SP 10, 55.00 
21-Dec-2020,Miền Nam,FPT,SP 06, 59.40 
17-Nov-2019,Miền Trung,Gà Excel,SP 08, 22.72 
23-Dec-2020,Miền Nam,VNPT,SP 08, 45.44 
21-Nov-2020,Miền Bắc,Viettel,SP 04, 65.96 
22-Nov-2020,Miền Bắc,FPT,SP 07, 23.15 
30-Dec-2019,Miền Nam,Gà Excel,SP 01, 157.50 
20-Jul-2020,Miền Nam,VNPT,SP 02, 19.45 
03-Nov-2019,Miền Nam,Viettel,SP 04, 68.00 
01-May-2019,Miền Nam,FPT,SP 09, 75.00 
01-Dec-2019,Miền Nam,Gà Excel,SP 10, 27.50 
14-Jun-2019,Miền Nam,VNPT,SP 04, 102.00 
14-Nov-2020,Miền Bắc,Viettel,SP 02, 39.90 
16-Nov-2019,Miền Trung,FPT,SP 09, 73.13 
02-Nov-2020,Miền Trung,Gà Excel,SP 08, 298.35 
02-Nov-2019,Miền Nam,VNPT,SP 04, 102.00 
03-Nov-2019,Miền Bắc,Viettel,SP 08, 67.47 
25-Dec-2020,Miền Nam,FPT,SP 07, 493.50 
20-Dec-2019,Miền Nam,Gà Excel,SP 08, 339.09 
26-Jun-2020,Miền Nam,VNPT,SP 08, 45.44 
28-Jun-2020,Miền Nam,Viettel,SP 07, 23.50 
13-Jan-2019,Miền Trung,FPT,SP 05, 45.90 
13-Dec-2019,Miền Nam,Gà Excel,SP 04, 102.00 
03-Nov-2020,Miền Trung,VNPT,SP 05, 22.38 
25-Jun-2019,Miền Nam,Viettel,SP 05, 45.21 
18-May-2019,Miền Nam,FPT,SP 07, 69.44 
26-Nov-2020,Miền Trung,Gà Excel,SP 09, 73.88 
18-Dec-2019,Miền Trung,VNPT,SP 02, 19.95 
21-Nov-2020,Miền Trung,Viettel,SP 06, 29.55 
09-Dec-2020,Miền Bắc,FPT,SP 02, 19.55 
10-Feb-2020,Miền Bắc,Gà Excel,SP 10, 82.50 
24-Sep-2020,Miền Bắc,VNPT,SP 03, 48.75 
06-Nov-2020,Miền Trung,Viettel,SP 02, 39.90 
19-Nov-2019,Miền Bắc,FPT,SP 07, 70.50 
22-Nov-2020,Miền Trung,Gà Excel,SP 08, 436.05 
17-Dec-2020,Miền Trung,VNPT,SP 09, 97.50 
25-Nov-2019,Miền Nam,Viettel,SP 08, 504.90 
25-Aug-2019,Miền Nam,FPT,SP 07, 46.30 
28-Feb-2019,Miền Trung,Gà Excel,SP 02, 58.95 
07-Dec-2020,Miền Nam,VNPT,SP 10, 81.68 
12-Jan-2019,Miền Nam,Viettel,SP 07, 45.59 
29-Dec-2019,Miền Trung,FPT,SP 04, 98.94 
28-Nov-2020,Miền Bắc,Gà Excel,SP 03, 99.00 
23-Dec-2020,Miền Trung,VNPT,SP 07, 69.44 
28-Sep-2020,Miền Trung,Viettel,SP 03, 75.00 
15-Dec-2020,Miền Trung,FPT,SP 06, 87.75 
06-Nov-2019,Miền Bắc,Gà Excel,SP 06, 59.40 
11-Nov-2019,Miền Trung,VNPT,SP 05, 44.75 
01-Nov-2019,Miền Nam,Viettel,SP 09, 48.75 
06-Nov-2019,Miền Trung,FPT,SP 04, 34.00 
18-Jul-2020,Miền Trung,Gà Excel,SP 09, 24.38 
30-Aug-2020,Miền Nam,VNPT,SP 05, 68.85 
10-Sep-2020,Miền Bắc,Viettel,SP 05, 44.52 
01-Dec-2020,Miền Nam,FPT,SP 03, 24.75 
09-Nov-2020,Miền Trung,Gà Excel,SP 04, 33.32 
04-Sep-2020,Miền Trung,VNPT,SP 02, 299.25 
12-Nov-2020,Miền Trung,Viettel,SP 09, 50.00 
13-Jan-2020,Miền Trung,FPT,SP 05, 44.75 
01-Nov-2019,Miền Bắc,Gà Excel,SP 09, 24.75 
09-Aug-2020,Miền Trung,VNPT,SP 08, 45.90 
30-Nov-2020,Miền Nam,Viettel,SP 04, 68.00 
23-Oct-2020,Miền Nam,FPT,SP 02, 58.35 
27-Dec-2019,Miền Nam,Gà Excel,SP 07, 69.09 
14-Dec-2019,Miền Nam,VNPT,SP 01, 239.85 
17-Jul-2019,Miền Nam,Viettel,SP 04, 66.30 
24-Dec-2020,Miền Bắc,FPT,SP 04, 33.32 
18-Feb-2020,Miền Nam,Gà Excel,SP 04, 510.00 
20-Dec-2019,Miền Trung,VNPT,SP 04, 68.00 
18-Nov-2020,Miền Trung,Viettel,SP 07, 47.00 
03-Dec-2019,Miền Trung,FPT,SP 07, 23.50 
30-Nov-2019,Miền Nam,Gà Excel,SP 05, 91.80 
01-Nov-2020,Miền Nam,VNPT,SP 05, 67.82 
23-Nov-2020,Miền Trung,Viettel,SP 01, 79.95 
28-Dec-2020,Miền Nam,FPT,SP 08, 45.90 
30-Apr-2019,Miền Nam,Gà Excel,SP 08, 67.13 
19-Jun-2020,Miền Nam,VNPT,SP 08, 22.26 
20-Dec-2019,Miền Trung,Viettel,SP 08, 45.44 
12-Feb-2019,Miền Trung,FPT,SP 04, 134.64 
30-Nov-2019,Miền Bắc,Gà Excel,SP 10, 27.50 
30-Dec-2020,Miền Trung,VNPT,SP 02, 58.35 
01-Dec-2019,Miền Bắc,Viettel,SP 06, 60.00 
16-Mar-2019,Miền Nam,FPT,SP 04, 34.00 
23-Dec-2020,Miền Bắc,Gà Excel,SP 07, 91.65 
25-Dec-2019,Miền Nam,VNPT,SP 05, 22.61 
06-Nov-2020,Miền Trung,Viettel,SP 03, 25.00 
15-Dec-2019,Miền Trung,FPT,SP 07, 45.83 
10-Dec-2020,Miền Nam,Gà Excel,SP 09, 72.75 
17-Mar-2019,Miền Nam,VNPT,SP 05, 44.52 
08-Dec-2019,Miền Nam,Viettel,SP 05, 436.05 
23-Nov-2020,Miền Trung,FPT,SP 06, 29.70 
22-Jun-2020,Miền Nam,Gà Excel,SP 10, 26.95 
03-Jul-2020,Miền Bắc,VNPT,SP 02, 19.45 
04-Dec-2019,Miền Nam,Viettel,SP 04, 32.98 
03-Feb-2020,Miền Bắc,FPT,SP 02, 39.90 
28-Nov-2020,Miền Trung,Gà Excel,SP 09, 73.13 
21-Dec-2020,Miền Trung,VNPT,SP 09, 49.50 
16-Jun-2019,Miền Nam,Viettel,SP 03, 24.50 
11-Dec-2020,Miền Nam,FPT,SP 01, 78.35 
16-Dec-2020,Miền Nam,Gà Excel,SP 04, 66.30 
13-Feb-2020,Miền Nam,VNPT,SP 07, 70.50 
31-Jan-2020,Miền Trung,Viettel,SP 01, 559.65 
28-Feb-2020,Miền Nam,FPT,SP 05, 22.49 
02-Nov-2020,Miền Bắc,Gà Excel,SP 04, 68.00 
26-Nov-2019,Miền Nam,VNPT,SP 05, 45.44 
15-Nov-2020,Miền Nam,Viettel,SP 08, 45.90 
30-Nov-2019,Miền Nam,FPT,SP 06, 90.00 
25-Nov-2020,Miền Nam,Gà Excel,SP 07, 232.65 
27-Sep-2020,Miền Nam,VNPT,SP 08, 45.90 
30-Dec-2020,Miền Bắc,Viettel,SP 06, 88.65 
11-Nov-2020,Miền Nam,FPT,SP 08, 66.78 
15-Nov-2019,Miền Bắc,Gà Excel,SP 10, 80.85 
09-Nov-2019,Miền Trung,VNPT,SP 05, 22.95 
03-Nov-2020,Miền Nam,Viettel,SP 08, 66.78 
29-Oct-2020,Miền Nam,FPT,SP 06, 90.00 
17-Dec-2020,Miền Nam,Gà Excel,SP 05, 45.21 
10-Dec-2019,Miền Nam,VNPT,SP 02, 38.90 
04-Dec-2019,Miền Nam,Viettel,SP 08, 45.90 
14-Jul-2020,Miền Nam,FPT,SP 02, 39.90 
04-Oct-2019,Miền Nam,Gà Excel,SP 04, 102.00 
03-Mar-2019,Miền Bắc,VNPT,SP 02, 38.70 
12-May-2019,Miền Nam,Viettel,SP 04, 66.98 
26-Dec-2020,Miền Nam,FPT,SP 03, 49.25 
12-May-2020,Miền Trung,Gà Excel,SP 04, 133.28 
01-Dec-2020,Miền Nam,VNPT,SP 08, 45.90 
20-May-2019,Miền Trung,Viettel,SP 04, 68.00 
24-Aug-2020,Miền Nam,FPT,SP 09, 25.00 
10-Dec-2019,Miền Bắc,Gà Excel,SP 09, 75.00 
08-Sep-2019,Miền Nam,VNPT,SP 08, 22.95 
03-Nov-2020,Miền Nam,Viettel,SP 04, 100.47 
31-Jan-2019,Miền Bắc,FPT,SP 04, 99.45 
26-Aug-2019,Miền Bắc,Gà Excel,SP 02, 38.70 
03-Nov-2020,Miền Trung,VNPT,SP 02, 58.05 
13-Nov-2019,Miền Nam,Viettel,SP 08, 22.95 
13-Dec-2019,Miền Trung,FPT,SP 06, 90.00 
09-Nov-2020,Miền Trung,Gà Excel,SP 06, 116.40 
12-Jun-2019,Miền Nam,VNPT,SP 04, 68.00 
25-Feb-2020,Miền Trung,Viettel,SP 08, 45.90 
16-Nov-2019,Miền Bắc,FPT,SP 10, 55.00 
24-Apr-2020,Miền Nam,Gà Excel,SP 08, 68.85 
30-Dec-2019,Miền Nam,VNPT,SP 05, 68.16 
13-Dec-2019,Miền Bắc,Viettel,SP 03, 49.50 
08-Dec-2019,Miền Bắc,FPT,SP 09, 49.00 
22-Aug-2020,Miền Nam,Gà Excel,SP 04, 102.00 
05-Jan-2019,Miền Bắc,VNPT,SP 05, 22.72 
28-Nov-2020,Miền Nam,Viettel,SP 08, 522.57 
30-Nov-2019,Miền Nam,FPT,SP 08, 481.95 
21-Jan-2020,Miền Nam,Gà Excel,SP 09, 25.00 
20-Nov-2019,Miền Trung,VNPT,SP 09, 25.00 
09-Dec-2019,Miền Bắc,Viettel,SP 04, 65.96 
07-Jul-2020,Miền Trung,FPT,SP 04, 68.00 
05-Dec-2019,Miền Nam,Gà Excel,SP 03, 73.88 
13-Sep-2020,Miền Nam,VNPT,SP 05, 22.72 
15-Dec-2019,Miền Nam,Viettel,SP 07, 69.09 
04-Dec-2019,Miền Nam,FPT,SP 07, 46.53 
10-Dec-2019,Miền Bắc,Gà Excel,SP 05, 91.80 
09-Dec-2019,Miền Nam,VNPT,SP 08, 22.95 
20-Nov-2020,Miền Bắc,Viettel,SP 09, 24.63 
18-Dec-2020,Miền Nam,FPT,SP 03, 25.00 
15-Dec-2020,Miền Nam,Gà Excel,SP 08, 90.88 
15-Jan-2019,Miền Bắc,VNPT,SP 04, 68.00 
07-May-2020,Miền Nam,Viettel,SP 05, 89.51 
26-Aug-2019,Miền Trung,FPT,SP 06, 88.20 
14-Dec-2020,Miền Nam,Gà Excel,SP 05, 45.90 
21-Nov-2020,Miền Nam,VNPT,SP 05, 67.82 
30-Apr-2019,Miền Nam,Viettel,SP 03, 75.00 
08-Dec-2020,Miền Bắc,FPT,SP 03, 50.00 
12-Dec-2020,Miền Bắc,Gà Excel,SP 04, 102.00 
15-Nov-2019,Miền Nam,VNPT,SP 06, 60.00 
20-Dec-2020,Miền Bắc,Viettel,SP 04, 66.30 
08-Nov-2019,Miền Nam,FPT,SP 05, 68.85 
28-Nov-2020,Miền Bắc,Gà Excel,SP 07, 47.00 
23-Nov-2020,Miền Nam,VNPT,SP 07, 46.06 
27-Jan-2020,Miền Nam,Viettel,SP 08, 22.26 
22-Nov-2020,Miền Nam,FPT,SP 09, 50.00 
17-Oct-2019,Miền Nam,Gà Excel,SP 07, 343.69 
01-Nov-2019,Miền Trung,VNPT,SP 05, 68.85 
12-Aug-2019,Miền Trung,Viettel,SP 03, 75.00 
20-Nov-2019,Miền Nam,FPT,SP 02, 19.65 
27-Feb-2020,Miền Trung,Gà Excel,SP 02, 197.51 
11-Sep-2020,Miền Nam,VNPT,SP 03, 72.75 
27-May-2020,Miền Trung,Viettel,SP 02, 39.90 
07-Jun-2019,Miền Bắc,FPT,SP 08, 22.61 
12-Apr-2019,Miền Trung,Gà Excel,SP 09, 100.00 
25-Dec-2020,Miền Trung,VNPT,SP 10, 80.44 
25-Dec-2020,Miền Trung,Viettel,SP 08, 45.44 
31-Jan-2019,Miền Nam,FPT,SP 09, 50.00 
06-Mar-2020,Miền Nam,Gà Excel,SP 07, 22.80 
03-Dec-2019,Miền Trung,VNPT,SP 02, 19.35 
23-Dec-2019,Miền Nam,Viettel,SP 10, 53.63 
25-Nov-2019,Miền Trung,FPT,SP 03, 25.00 
18-Nov-2019,Miền Nam,Gà Excel,SP 02, 59.85 
08-Dec-2019,Miền Bắc,VNPT,SP 03, 50.00 
23-Nov-2019,Miền Trung,Viettel,SP 03, 24.63 
11-Sep-2019,Miền Nam,FPT,SP 08, 45.90 
28-Dec-2020,Miền Trung,Gà Excel,SP 03, 50.00 
07-Dec-2020,Miền Trung,VNPT,SP 02, 19.55 
23-Sep-2020,Miền Bắc,Viettel,SP 08, 67.13 
14-Oct-2020,Miền Nam,FPT,SP 07, 68.74 
08-Sep-2020,Miền Nam,Gà Excel,SP 07, 23.50 
05-Oct-2019,Miền Nam,VNPT,SP 07, 47.00 
28-Jan-2020,Miền Trung,Viettel,SP 02, 39.90 
28-Dec-2020,Miền Nam,FPT,SP 02, 256.76 
21-Feb-2020,Miền Trung,Gà Excel,SP 01, 239.85 
08-Dec-2020,Miền Trung,VNPT,SP 04, 100.98 
13-Sep-2019,Miền Nam,Viettel,SP 04, 66.98 
15-Jan-2019,Miền Trung,FPT,SP 03, 73.13 
10-Nov-2019,Miền Nam,Gà Excel,SP 02, 39.10 
10-Dec-2020,Miền Nam,VNPT,SP 07, 69.80 
22-Sep-2020,Miền Trung,Viettel,SP 05, 45.90 
04-Nov-2019,Miền Nam,FPT,SP 08, 68.85 
29-Nov-2019,Miền Trung,Gà Excel,SP 05, 67.13 
04-Nov-2020,Miền Trung,VNPT,SP 04, 68.00 
15-Aug-2020,Miền Bắc,Viettel,SP 02, 38.70 
12-Dec-2020,Miền Trung,FPT,SP 08, 22.95 
26-May-2019,Miền Nam,Gà Excel,SP 06, 60.00 
04-Nov-2019,Miền Nam,VNPT,SP 10, 80.03 
03-Nov-2020,Miền Nam,Viettel,SP 06, 360.00 
07-Sep-2020,Miền Bắc,FPT,SP 04, 102.00 
04-Nov-2019,Miền Trung,Gà Excel,SP 06, 60.00 
21-Nov-2019,Miền Nam,VNPT,SP 08, 22.61 
07-Nov-2020,Miền Trung,Viettel,SP 04, 34.00 
29-Dec-2019,Miền Trung,FPT,SP 09, 24.75 
30-Sep-2020,Miền Bắc,Gà Excel,SP 08, 67.47 
07-Dec-2019,Miền Bắc,VNPT,SP 10, 27.23 
14-Nov-2019,Miền Bắc,Viettel,SP 08, 22.95 
22-Dec-2019,Miền Bắc,FPT,SP 06, 29.55 
04-Dec-2020,Miền Trung,Gà Excel,SP 02, 58.65 
11-Dec-2019,Miền Nam,VNPT,SP 03, 75.00 
20-Oct-2020,Miền Nam,Viettel,SP 01, 79.15 
19-Dec-2020,Miền Trung,FPT,SP 10, 80.85 
08-Mar-2019,Miền Trung,Gà Excel,SP 06, 29.40 
16-Oct-2020,Miền Trung,VNPT,SP 02, 59.25 
05-Nov-2020,Miền Nam,Viettel,SP 01, 159.90 
03-Dec-2019,Miền Nam,FPT,SP 09, 75.00 
07-Dec-2020,Miền Trung,Gà Excel,SP 07, 23.27 
15-Dec-2020,Miền Bắc,VNPT,SP 02, 19.55 
27-Aug-2019,Miền Bắc,Viettel,SP 08, 22.95 
20-Nov-2020,Miền Trung,FPT,SP 02, 59.25 
22-Feb-2020,Miền Bắc,Gà Excel,SP 08, 45.90 
24-Nov-2019,Miền Trung,VNPT,SP 08, 67.13 
07-Nov-2019,Miền Trung,Viettel,SP 07, 70.50 
06-Nov-2019,Miền Bắc,FPT,SP 03, 75.00 
21-Dec-2020,Miền Trung,Gà Excel,SP 01, 78.75 
21-Dec-2020,Miền Bắc,VNPT,SP 08, 44.98 
24-Nov-2019,Miền Trung,Viettel,SP 05, 68.85 
30-Dec-2019,Miền Trung,FPT,SP 03, 24.50 
06-Nov-2019,Miền Bắc,Gà Excel,SP 09, 75.00 
23-Nov-2020,Miền Trung,VNPT,SP 07, 517.00 
07-Nov-2020,Miền Bắc,Viettel,SP 09, 24.50 
29-Nov-2020,Miền Bắc,FPT,SP 04, 68.00 
03-Nov-2019,Miền Bắc,Gà Excel,SP 02, 59.85 
31-Jan-2019,Miền Trung,VNPT,SP 08, 44.52 
06-Dec-2019,Miền Nam,Viettel,SP 05, 22.49 
26-Dec-2020,Miền Bắc,FPT,SP 09, 50.00 
20-Nov-2020,Miền Trung,Gà Excel,SP 07, 47.00 
07-Nov-2019,Miền Bắc,VNPT,SP 02, 77.81 
22-Jan-2020,Miền Nam,Viettel,SP 05, 67.82 
30-Dec-2020,Miền Nam,FPT,SP 10, 53.35 
19-Nov-2019,Miền Nam,Gà Excel,SP 03, 73.13 
28-Feb-2020,Miền Bắc,VNPT,SP 08, 45.90 
13-Jun-2019,Miền Trung,Viettel,SP 06, 204.75 
07-Jan-2019,Miền Trung,FPT,SP 09, 48.50 
26-Mar-2019,Miền Nam,Gà Excel,SP 02, 59.85 
17-Jul-2020,Miền Bắc,VNPT,SP 04, 133.96 
09-Dec-2020,Miền Nam,Viettel,SP 08, 44.98 
09-Nov-2020,Miền Trung,FPT,SP 02, 19.55 
23-Dec-2019,Miền Bắc,Gà Excel,SP 05, 45.90 
11-May-2019,Miền Trung,VNPT,SP 04, 66.30 
25-Oct-2019,Miền Nam,Viettel,SP 07, 486.10 
01-Dec-2020,Miền Trung,FPT,SP 03, 72.75 
16-Nov-2020,Miền Nam,Gà Excel,SP 05, 45.90 
30-Nov-2019,Miền Nam,VNPT,SP 04, 102.00 
05-Jul-2019,Miền Bắc,Viettel,SP 04, 68.00 
05-Nov-2020,Miền Trung,FPT,SP 01, 159.90 
02-Jul-2019,Miền Nam,Gà Excel,SP 09, 24.75 
23-Nov-2019,Miền Nam,VNPT,SP 01, 159.90 
01-Nov-2020,Miền Trung,Viettel,SP 07, 506.66 
12-Dec-2020,Miền Trung,FPT,SP 09, 24.75 
10-Feb-2020,Miền Nam,Gà Excel,SP 04, 102.00 
21-Nov-2020,Miền Trung,VNPT,SP 09, 388.00 
25-Aug-2020,Miền Nam,Viettel,SP 08, 45.90 
16-Jul-2019,Miền Trung,FPT,SP 07, 47.00 
22-Nov-2020,Miền Bắc,Gà Excel,SP 03, 74.25 
21-Mar-2019,Miền Nam,VNPT,SP 03, 315.25 
16-Dec-2019,Miền Nam,Viettel,SP 02, 58.95 
26-Nov-2019,Miền Trung,FPT,SP 08, 22.95 
20-Nov-2019,Miền Trung,Gà Excel,SP 05, 22.95 
25-Dec-2019,Miền Trung,VNPT,SP 02, 39.90 
15-Jan-2019,Miền Nam,Viettel,SP 04, 33.15 
27-May-2019,Miền Trung,FPT,SP 05, 68.16 
29-Dec-2019,Miền Bắc,Gà Excel,SP 05, 44.75 
09-Nov-2020,Miền Nam,VNPT,SP 04, 66.30 
27-Nov-2019,Miền Nam,Viettel,SP 05, 45.90 
22-Dec-2019,Miền Nam,FPT,SP 03, 72.75 
13-Dec-2020,Miền Nam,Gà Excel,SP 10, 26.68 
04-Dec-2020,Miền Bắc,VNPT,SP 05, 22.95 
04-Nov-2020,Miền Trung,Viettel,SP 02, 39.30 
29-Aug-2020,Miền Nam,FPT,SP 09, 50.00 
20-Apr-2020,Miền Nam,Gà Excel,SP 09, 48.75 
15-Nov-2020,Miền Trung,VNPT,SP 04, 102.00 
17-Nov-2020,Miền Trung,Viettel,SP 04, 131.92 
30-Mar-2019,Miền Bắc,FPT,SP 04, 99.96 
18-Nov-2019,Miền Bắc,Gà Excel,SP 03, 75.00 
16-Aug-2019,Miền Trung,VNPT,SP 08, 68.85 
23-Dec-2020,Miền Bắc,Viettel,SP 03, 24.25 
29-Dec-2020,Miền Trung,FPT,SP 04, 66.30 
25-Sep-2019,Miền Nam,Gà Excel,SP 02, 58.95 
27-Dec-2020,Miền Bắc,VNPT,SP 05, 44.52 
21-Feb-2019,Miền Trung,Viettel,SP 07, 23.27 
14-Nov-2020,Miền Bắc,FPT,SP 08, 22.61 
29-Jul-2019,Miền Trung,Gà Excel,SP 02, 58.65 
29-Oct-2020,Miền Trung,VNPT,SP 08, 22.95 
23-Nov-2020,Miền Bắc,Viettel,SP 08, 44.52 
26-Oct-2020,Miền Trung,FPT,SP 08, 45.90 
25-Nov-2019,Miền Nam,Gà Excel,SP 02, 58.05 
20-Nov-2019,Miền Trung,VNPT,SP 10, 220.00 
24-Jun-2019,Miền Nam,Viettel,SP 02, 58.35 
26-Dec-2019,Miền Bắc,FPT,SP 06, 89.10 
21-Nov-2019,Miền Trung,Gà Excel,SP 03, 48.75 
07-Oct-2020,Miền Bắc,VNPT,SP 02, 179.55 
28-Apr-2020,Miền Nam,Viettel,SP 03, 75.00 
20-Nov-2019,Miền Bắc,FPT,SP 05, 44.75 
05-Nov-2019,Miền Bắc,Gà Excel,SP 08, 45.21 
21-Jul-2020,Miền Nam,VNPT,SP 04, 33.15 
15-Feb-2019,Miền Trung,Viettel,SP 05, 45.90 
